1;5;0;32;388;383;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;21.0;0.0
2;5;0;35;385;380;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;20.0;0.0
3;5;0;38;382;377;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;19.0;0.0
4;5;0;41;379;374;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;18.0;0.0
5;5;0;44;376;371;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;17.0;0.0
6;5;0;47;373;368;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;16.0;0.0
7;5;0;50;370;365;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;15.0;0.0
8;5;0;53;367;362;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;14.0;0.0
9;5;0;56;364;359;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;13.0;0.0
10;5;0;59;361;356;[3, 7, 6, 5, 5, 0, 7, 3, 3, 3];0;12.0;0.0
